task_id,title,description,type,status,priority,assignee,reporter,created_at,start_time,end_time,due_date,estimated_hours,actual_hours,category,board_name,sprint_name,labels,comments_count
11, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,Review,Medium,charlie,alice,2025-06-06 08:30:59,2025-06-10 08:30:59,,2025-06-11 08:30:59,14.3,,Research,Sprint 4,Sprint 4,"database, ml",4
12,Epic task for Testing,Please handle a Epic related to Testing. Priority: High.,Epic,In Progress,High,charlie,eve,2025-05-19 04:51:01,2025-05-23 04:51:01,,2025-05-27 04:51:01,10.4,,Testing,Sprint 1,Sprint 1,auth,11
13,Bug task for Testing,Please handle a Bug related to Testing. Priority: Critical.,Bug,In Progress,Critical,eve,charlie,2025-05-25 09:45:12,2025-05-30 09:45:12,,2025-06-05 09:45:12,12.0,,Testing,Sprint 4,Sprint 4,"ui, backend, ml",14
14,Task task for Development,Please handle a Task related to Development. Priority: Critical.,Task,Blocked,Critical,diana,charlie,2025-06-02 03:44:49,2025-06-06 03:44:49,,2025-06-16 03:44:49,10.6,,Development,Sprint 5,Sprint 5,"database, ml",4
15,Bug task for Design,Please handle a Bug related to Design. Priority: Medium.,Bug,Blocked,Medium,eve,bob,2025-06-11 05:57:36,2025-06-13 05:57:36,,2025-06-22 05:57:36,9.2,,Design,Sprint 3,Sprint 3,"database, backend, auth",2
16,Story task for Testing,Please handle a Story related to Testing. Priority: Low.,Story,To Do,Low,diana,charlie,2025-05-17 03:30:02,2025-05-18 03:30:02,,2025-05-26 03:30:02,5.1,,Testing,Sprint 3,Sprint 3,"backend, api",10
17,Bug task for Design,Please handle a Bug related to Design. Priority: High.,Bug,Blocked,High,eve,charlie,2025-06-04 17:00:30,2025-06-06 17:00:30,,2025-06-12 17:00:30,14.6,,Design,Sprint 2,Sprint 2,"ml, auth, deploy",10
18,Task task for Research,Please handle a Task related to Research. Priority: Medium.,Task,Blocked,Medium,eve,charlie,2025-05-31 23:27:08,2025-06-04 23:27:08,,2025-06-12 23:27:08,15.3,,Research,Sprint 1,Sprint 1,"deploy, database, api",5
19,Task task for Testing,Please handle a Task related to Testing. Priority: Medium.,Task,In Progress,Medium,alice,eve,2025-05-25 19:51:15,2025-05-28 19:51:15,,2025-06-01 19:51:15,14.1,,Testing,Sprint 3,Sprint 3,"ml, deploy",8
20, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,In Progress,Critical,eve,alice,2025-05-25 23:31:56,2025-05-26 23:31:56,,2025-06-06 23:31:56,5.5,,Research,Sprint 5,Sprint 5,"api, auth",12
21,Bug task for Design,Please handle a Bug related to Design. Priority: Critical.,Bug,Completed,Critical,bob,charlie,2025-05-31 17:08:07,2025-06-02 17:08:07,2025-06-05 17:08:07,2025-06-14 17:08:07,5.7,7.9,Design,Sprint 4,Sprint 4,"backend, ui",6
22,Story task for Design,Please handle a Story related to Design. Priority: Low.,Story,Review,Low,charlie,bob,2025-06-11 03:30:36,2025-06-13 03:30:36,,2025-06-24 03:30:36,7.9,,Design,Sprint 5,Sprint 5,backend,1
23,Epic task for Research,Please handle a Epic related to Research. Priority: Critical.,Epic,Blocked,Critical,alice,eve,2025-05-31 00:59:24,2025-06-02 00:59:24,,2025-06-13 00:59:24,14.5,,Research,Sprint 2,Sprint 2,api,5
24,Epic task for Testing,Please handle a Epic related to Testing. Priority: Medium.,Epic,Review,Medium,bob,eve,2025-06-05 17:51:24,2025-06-09 17:51:24,,2025-06-15 17:51:24,12.8,,Testing,Sprint 5,Sprint 5,"ml, deploy",13
25,Epic task for Research,Please handle a Epic related to Research. Priority: Critical.,Epic,Review,Critical,eve,bob,2025-05-15 21:29:31,2025-05-19 21:29:31,,2025-05-21 21:29:31,10.3,,Research,Sprint 4,Sprint 4,"ml, backend, auth",8
26, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,To Do,Medium,alice,diana,2025-05-18 04:44:49,2025-05-23 04:44:49,,2025-05-31 04:44:49,7.4,,Research,Sprint 4,Sprint 4,"backend, api, ml",3
27,Task task for Design,Please handle a Task related to Design. Priority: Medium.,Task,Blocked,Medium,diana,eve,2025-06-11 07:59:49,2025-06-16 07:59:49,,2025-06-20 07:59:49,4.1,,Design,Sprint 2,Sprint 2,deploy,14
28,Task task for Research,Please handle a Task related to Research. Priority: Critical.,Task,Completed,Critical,alice,diana,2025-05-16 06:55:10,2025-05-18 06:55:10,2025-05-19 06:55:10,2025-05-27 06:55:10,3.2,4.3,Research,Sprint 2,Sprint 2,api,13
29,Story task for Testing,Please handle a Story related to Testing. Priority: Medium.,Story,In Progress,Medium,eve,diana,2025-06-09 11:00:09,2025-06-10 11:00:09,,2025-06-17 11:00:09,8.0,,Testing,Sprint 5,Sprint 5,"database, deploy",8
30,Bug task for Research,Please handle a Bug related to Research. Priority: Medium.,Bug,To Do,Medium,eve,charlie,2025-06-13 19:33:41,2025-06-15 19:33:41,,2025-06-19 19:33:41,8.6,,Research,Sprint 2,Sprint 2,database,10
31,Epic task for Design,Please handle a Epic related to Design. Priority: High.,Epic,In Progress,High,eve,charlie,2025-05-15 07:41:52,2025-05-17 07:41:52,,2025-05-29 07:41:52,3.9,,Design,Sprint 2,Sprint 2,backend,1
32,Epic task for Development,Please handle a Epic related to Development. Priority: Critical.,Epic,Review,Critical,charlie,diana,2025-05-22 06:28:53,2025-05-23 06:28:53,,2025-05-31 06:28:53,10.6,,Development,Sprint 1,Sprint 1,"database, deploy, ui",9
33,Task task for Research,Please handle a Task related to Research. Priority: High.,Task,In Progress,High,charlie,bob,2025-05-15 16:49:34,2025-05-16 16:49:34,,2025-05-25 16:49:34,7.2,,Research,Sprint 3,Sprint 3,ui,0
34,Epic task for Development,Please handle a Epic related to Development. Priority: Medium.,Epic,Blocked,Medium,charlie,bob,2025-05-24 17:03:15,2025-05-27 17:03:15,,2025-06-02 17:03:15,5.9,,Development,Sprint 3,Sprint 3,"deploy, backend",7
35,Task task for Development,Please handle a Task related to Development. Priority: Medium.,Task,In Progress,Medium,eve,bob,2025-06-12 16:48:29,2025-06-16 16:48:29,,2025-06-23 16:48:29,14.4,,Development,Sprint 5,Sprint 5,"auth, ui, database",12
36,Task task for Testing,Please handle a Task related to Testing. Priority: Low.,Task,Review,Low,bob,eve,2025-06-07 14:15:08,2025-06-09 14:15:08,,2025-06-12 14:15:08,7.5,,Testing,Sprint 5,Sprint 5,ml,12
37,Bug task for Research,Please handle a Bug related to Research. Priority: Critical.,Bug,Review,Critical,alice,diana,2025-06-08 00:22:04,2025-06-11 00:22:04,,2025-06-21 00:22:04,2.9,,Research,Sprint 1,Sprint 1,"auth, backend, ui",14
38,Bug task for Design,Please handle a Bug related to Design. Priority: High.,Bug,In Progress,High,eve,bob,2025-05-31 16:09:29,2025-06-01 16:09:29,,2025-06-15 16:09:29,7.6,,Design,Sprint 2,Sprint 2,api,7
39,Bug task for Research,Please handle a Bug related to Research. Priority: Critical.,Bug,Review,Critical,bob,diana,2025-06-06 13:17:31,2025-06-08 13:17:31,,2025-06-17 13:17:31,3.0,,Research,Sprint 1,Sprint 1,"api, ml, database",15
40,Epic task for Development,Please handle a Epic related to Development. Priority: Critical.,Epic,In Progress,Critical,diana,alice,2025-05-18 01:52:57,2025-05-20 01:52:57,,2025-05-29 01:52:57,12.7,,Development,Sprint 5,Sprint 5,"deploy, database, ui",15
41,Epic task for Testing,Please handle a Epic related to Testing. Priority: Medium.,Epic,To Do,Medium,diana,eve,2025-05-23 17:42:38,2025-05-27 17:42:38,,2025-05-29 17:42:38,11.0,,Testing,Sprint 3,Sprint 3,auth,5
42,Epic task for Design,Please handle a Epic related to Design. Priority: High.,Epic,To Do,High,charlie,bob,2025-05-20 10:48:43,2025-05-21 10:48:43,,2025-06-03 10:48:43,4.5,,Design,Sprint 5,Sprint 5,ui,5
43,Story task for Development,Please handle a Story related to Development. Priority: Low.,Story,Completed,Low,charlie,diana,2025-06-10 01:20:43,2025-06-11 01:20:43,2025-06-16 01:20:43,2025-06-22 01:20:43,3.0,3.6,Development,Sprint 5,Sprint 5,"auth, database, ml",0
44,Story task for Design,Please handle a Story related to Design. Priority: Critical.,Story,In Progress,Critical,eve,bob,2025-05-24 14:36:05,2025-05-26 14:36:05,,2025-06-01 14:36:05,13.4,,Design,Sprint 4,Sprint 4,"auth, deploy, backend",14
45,Bug task for Testing,Please handle a Bug related to Testing. Priority: High.,Bug,Blocked,High,alice,eve,2025-05-17 23:07:29,2025-05-19 23:07:29,,2025-05-28 23:07:29,7.2,,Testing,Sprint 1,Sprint 1,api,14
46,Task task for Development,Please handle a Task related to Development. Priority: Low.,Task,Completed,Low,alice,bob,2025-05-30 00:47:42,2025-06-01 00:47:42,2025-06-06 00:47:42,2025-06-09 00:47:42,10.2,13.6,Development,Sprint 4,Sprint 4,ml,0
47,Task task for Research,Please handle a Task related to Research. Priority: Low.,Task,To Do,Low,diana,eve,2025-05-18 03:37:54,2025-05-21 03:37:54,,2025-06-02 03:37:54,9.7,,Research,Sprint 4,Sprint 4,"api, database, ml",2
48,Epic task for Testing,Please handle a Epic related to Testing. Priority: High.,Epic,Review,High,charlie,bob,2025-06-12 01:08:49,2025-06-16 01:08:49,,2025-06-22 01:08:49,12.7,,Testing,Sprint 2,Sprint 2,"ui, backend",13
49,Story task for Development,Please handle a Story related to Development. Priority: Medium.,Story,Blocked,Medium,alice,diana,2025-05-25 04:29:47,2025-05-28 04:29:47,,2025-06-06 04:29:47,12.3,,Development,Sprint 2,Sprint 2,api,12
50,Task task for Research,Please handle a Task related to Research. Priority: Medium.,Task,To Do,Medium,diana,eve,2025-05-17 08:42:56,2025-05-22 08:42:56,,2025-05-24 08:42:56,15.1,,Research,Sprint 2,Sprint 2,"deploy, database",5
51,Bug task for Design,Please handle a Bug related to Design. Priority: Medium.,Bug,Blocked,Medium,alice,eve,2025-05-23 20:46:49,2025-05-26 20:46:49,,2025-06-06 20:46:49,5.7,,Design,Sprint 4,Sprint 4,"database, deploy, auth",13
52,Epic task for Testing,Please handle a Epic related to Testing. Priority: Critical.,Epic,To Do,Critical,bob,alice,2025-06-05 18:55:11,2025-06-10 18:55:11,,2025-06-16 18:55:11,5.9,,Testing,Sprint 2,Sprint 2,backend,10
53,Story task for Design,Please handle a Story related to Design. Priority: Medium.,Story,Review,Medium,alice,charlie,2025-06-03 16:22:14,2025-06-08 16:22:14,,2025-06-17 16:22:14,12.5,,Design,Sprint 4,Sprint 4,ui,14
54,Task task for Development,Please handle a Task related to Development. Priority: High.,Task,Completed,High,diana,bob,2025-05-24 23:48:41,2025-05-29 23:48:41,2025-06-02 23:48:41,2025-05-30 23:48:41,4.9,5.9,Development,Sprint 3,Sprint 3,database,14
55,Epic task for Design,Please handle a Epic related to Design. Priority: Critical.,Epic,Completed,Critical,diana,charlie,2025-06-07 14:34:36,2025-06-10 14:34:36,2025-06-12 14:34:36,2025-06-14 14:34:36,13.7,14.3,Design,Sprint 2,Sprint 2,"auth, ui",8
56, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,In Progress,Low,diana,charlie,2025-05-27 00:24:21,2025-05-31 00:24:21,,2025-06-03 00:24:21,12.7,,Research,Sprint 1,Sprint 1,"auth, ui",6
57,Bug task for Development,Please handle a Bug related to Development. Priority: Medium.,Bug,Completed,Medium,diana,bob,2025-05-31 18:36:40,2025-06-01 18:36:40,2025-06-05 18:36:40,2025-06-05 18:36:40,6.0,7.1,Development,Sprint 4,Sprint 4,"database, ui",2
58,Bug task for Design,Please handle a Bug related to Design. Priority: Critical.,Bug,Completed,Critical,eve,bob,2025-06-12 04:16:46,2025-06-16 04:16:46,2025-06-17 04:16:46,2025-06-23 04:16:46,11.6,17.2,Design,Sprint 3,Sprint 3,ml,4
59,Story task for Design,Please handle a Story related to Design. Priority: Medium.,Story,To Do,Medium,alice,eve,2025-06-02 10:05:20,2025-06-05 10:05:20,,2025-06-17 10:05:20,3.2,,Design,Sprint 3,Sprint 3,"deploy, backend",1
60,Epic task for Testing,Please handle a Epic related to Testing. Priority: High.,Epic,To Do,High,bob,alice,2025-06-07 06:20:31,2025-06-10 06:20:31,,2025-06-21 06:20:31,10.2,,Testing,Sprint 5,Sprint 5,ui,14
61,Task task for Design,Please handle a Task related to Design. Priority: Low.,Task,To Do,Low,eve,diana,2025-06-13 03:42:40,2025-06-15 03:42:40,,2025-06-28 03:42:40,9.2,,Design,Sprint 3,Sprint 3,ml,12
62,Task task for Testing,Please handle a Task related to Testing. Priority: Low.,Task,Blocked,Low,alice,diana,2025-06-02 14:58:09,2025-06-04 14:58:09,,2025-06-10 14:58:09,15.1,,Testing,Sprint 1,Sprint 1,database,12
63, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,Completed,Medium,alice,bob,2025-05-31 11:54:58,2025-06-03 11:54:58,2025-06-04 11:54:58,2025-06-08 11:54:58,2.9,3.6,Research,Sprint 5,Sprint 5,"ui, api, ml",1
64,Bug task for Research,Please handle a Bug related to Research. Priority: Low.,Bug,Completed,Low,eve,alice,2025-06-06 10:05:23,2025-06-09 10:05:23,2025-06-12 10:05:23,2025-06-18 10:05:23,10.7,13.5,Research,Sprint 4,Sprint 4,ml,7
65,Task task for Research,Please handle a Task related to Research. Priority: Low.,Task,Review,Low,eve,alice,2025-06-10 19:10:08,2025-06-15 19:10:08,,2025-06-16 19:10:08,15.2,,Research,Sprint 2,Sprint 2,deploy,9
66,Story task for Development,Please handle a Story related to Development. Priority: Critical.,Story,In Progress,Critical,eve,charlie,2025-06-06 11:27:36,2025-06-10 11:27:36,,2025-06-15 11:27:36,12.6,,Development,Sprint 3,Sprint 3,"ui, api, database",2
67, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,Blocked,Critical,bob,diana,2025-06-02 08:11:54,2025-06-06 08:11:54,,2025-06-15 08:11:54,15.4,,Research,Sprint 2,Sprint 2,"ui, database",14
68,Bug task for Research,Please handle a Bug related to Research. Priority: High.,Bug,Blocked,High,charlie,diana,2025-06-08 07:20:20,2025-06-10 07:20:20,,2025-06-17 07:20:20,13.0,,Research,Sprint 5,Sprint 5,"api, auth, deploy",3
69,Bug task for Testing,Please handle a Bug related to Testing. Priority: High.,Bug,Completed,High,diana,bob,2025-06-12 02:30:22,2025-06-17 02:30:22,2025-06-20 02:30:22,2025-06-22 02:30:22,12.8,15.8,Testing,Sprint 4,Sprint 4,"ml, auth, backend",6
70, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,In Progress,Low,diana,bob,2025-05-18 17:54:01,2025-05-19 17:54:01,,2025-05-23 17:54:01,4.5,,Research,Sprint 1,Sprint 1,"api, database",9
71,Task task for Development,Please handle a Task related to Development. Priority: Critical.,Task,Completed,Critical,bob,eve,2025-06-03 01:12:15,2025-06-08 01:12:15,2025-06-12 01:12:15,2025-06-09 01:12:15,2.4,3.6,Development,Sprint 3,Sprint 3,"deploy, ml, ui",8
72,Bug task for Research,Please handle a Bug related to Research. Priority: High.,Bug,To Do,High,charlie,eve,2025-05-16 16:25:33,2025-05-18 16:25:33,,2025-05-24 16:25:33,3.8,,Research,Sprint 1,Sprint 1,database,5
73, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,Completed,Critical,alice,bob,2025-05-27 10:48:27,2025-05-29 10:48:27,2025-06-03 10:48:27,2025-06-11 10:48:27,7.5,7.7,Research,Sprint 3,Sprint 3,"api, ui, backend",5
74, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,Review,Medium,eve,charlie,2025-05-30 18:53:01,2025-06-04 18:53:01,,2025-06-13 18:53:01,3.2,,Research,Sprint 4,Sprint 4,deploy,12
75,Bug task for Development,Please handle a Bug related to Development. Priority: High.,Bug,Review,High,bob,diana,2025-06-08 00:00:43,2025-06-13 00:00:43,,2025-06-16 00:00:43,8.1,,Development,Sprint 5,Sprint 5,"api, database, backend",15
76, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,Blocked,Critical,bob,charlie,2025-05-29 05:28:49,2025-06-03 05:28:49,,2025-06-07 05:28:49,13.8,,Research,Sprint 2,Sprint 2,"auth, ml, deploy",6
77,Bug task for Research,Please handle a Bug related to Research. Priority: Medium.,Bug,To Do,Medium,charlie,alice,2025-06-07 03:30:16,2025-06-11 03:30:16,,2025-06-22 03:30:16,12.2,,Research,Sprint 1,Sprint 1,ml,8
78,Bug task for Design,Please handle a Bug related to Design. Priority: Critical.,Bug,Blocked,Critical,eve,alice,2025-05-19 14:16:23,2025-05-20 14:16:23,,2025-05-27 14:16:23,14.6,,Design,Sprint 1,Sprint 1,ml,11
79, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,Completed,High,charlie,diana,2025-06-03 01:03:11,2025-06-05 01:03:11,2025-06-06 01:03:11,2025-06-08 01:03:11,2.3,2.1,Research,Sprint 1,Sprint 1,"auth, ml, database",8
80, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,Completed,Critical,eve,diana,2025-05-31 19:16:28,2025-06-01 19:16:28,2025-06-06 19:16:28,2025-06-09 19:16:28,4.0,5.4,Research,Sprint 1,Sprint 1,"ml, api",6
81,Task task for Testing,Please handle a Task related to Testing. Priority: Low.,Task,Blocked,Low,charlie,alice,2025-06-09 16:09:10,2025-06-14 16:09:10,,2025-06-17 16:09:10,2.2,,Testing,Sprint 4,Sprint 4,"backend, database, ui",3
82,Epic task for Testing,Please handle a Epic related to Testing. Priority: Medium.,Epic,Completed,Medium,diana,charlie,2025-06-01 02:35:50,2025-06-03 02:35:50,2025-06-04 02:35:50,2025-06-06 02:35:50,9.8,13.7,Testing,Sprint 3,Sprint 3,ml,9
83,Epic task for Research,Please handle a Epic related to Research. Priority: Medium.,Epic,Review,Medium,charlie,diana,2025-06-04 07:31:34,2025-06-07 07:31:34,,2025-06-09 07:31:34,14.7,,Research,Sprint 2,Sprint 2,database,6
84,Bug task for Design,Please handle a Bug related to Design. Priority: Low.,Bug,To Do,Low,bob,eve,2025-05-28 19:59:50,2025-05-30 19:59:50,,2025-06-10 19:59:50,11.2,,Design,Sprint 1,Sprint 1,"backend, ui",1
85,Epic task for Testing,Please handle a Epic related to Testing. Priority: Low.,Epic,Review,Low,charlie,diana,2025-06-14 04:39:51,2025-06-19 04:39:51,,2025-06-24 04:39:51,13.0,,Testing,Sprint 2,Sprint 2,"deploy, ui, auth",15
86,Epic task for Testing,Please handle a Epic related to Testing. Priority: Critical.,Epic,Blocked,Critical,charlie,bob,2025-06-05 04:16:06,2025-06-09 04:16:06,,2025-06-11 04:16:06,14.2,,Testing,Sprint 3,Sprint 3,"api, database",8
87,Story task for Development,Please handle a Story related to Development. Priority: High.,Story,Completed,High,charlie,diana,2025-05-16 03:43:31,2025-05-18 03:43:31,2025-05-23 03:43:31,2025-05-30 03:43:31,10.4,12.3,Development,Sprint 4,Sprint 4,auth,7
88,Bug task for Development,Please handle a Bug related to Development. Priority: High.,Bug,In Progress,High,bob,charlie,2025-06-06 00:12:46,2025-06-08 00:12:46,,2025-06-19 00:12:46,4.4,,Development,Sprint 4,Sprint 4,ml,15
89,Task task for Research,Please handle a Task related to Research. Priority: High.,Task,To Do,High,eve,charlie,2025-05-27 08:09:12,2025-05-28 08:09:12,,2025-06-07 08:09:12,10.3,,Research,Sprint 1,Sprint 1,"ml, database",13
90,Task task for Development,Please handle a Task related to Development. Priority: Low.,Task,To Do,Low,bob,diana,2025-06-10 02:33:14,2025-06-12 02:33:14,,2025-06-18 02:33:14,4.4,,Development,Sprint 4,Sprint 4,"auth, ml, backend",1
91,Bug task for Testing,Please handle a Bug related to Testing. Priority: Medium.,Bug,Completed,Medium,eve,alice,2025-05-15 09:57:03,2025-05-19 09:57:03,2025-05-21 09:57:03,2025-05-23 09:57:03,3.4,2.8,Testing,Sprint 3,Sprint 3,"deploy, auth",6
92,Task task for Testing,Please handle a Task related to Testing. Priority: Critical.,Task,Review,Critical,alice,diana,2025-05-31 17:06:57,2025-06-01 17:06:57,,2025-06-09 17:06:57,13.8,,Testing,Sprint 2,Sprint 2,"backend, ui",14
93,Task task for Design,Please handle a Task related to Design. Priority: Medium.,Task,Blocked,Medium,charlie,bob,2025-05-25 13:49:59,2025-05-30 13:49:59,,2025-06-05 13:49:59,6.3,,Design,Sprint 3,Sprint 3,backend,8
94,Epic task for Design,Please handle a Epic related to Design. Priority: Medium.,Epic,Completed,Medium,diana,charlie,2025-05-17 17:47:19,2025-05-18 17:47:19,2025-05-23 17:47:19,2025-05-28 17:47:19,15.0,13.6,Design,Sprint 5,Sprint 5,"database, ui, ml",8
95,Task task for Design,Please handle a Task related to Design. Priority: High.,Task,Completed,High,charlie,alice,2025-06-14 02:48:11,2025-06-17 02:48:11,2025-06-21 02:48:11,2025-06-28 02:48:11,3.9,5.2,Design,Sprint 1,Sprint 1,auth,11
96,Task task for Testing,Please handle a Task related to Testing. Priority: Low.,Task,Blocked,Low,bob,eve,2025-06-12 01:14:37,2025-06-15 01:14:37,,2025-06-25 01:14:37,8.6,,Testing,Sprint 3,Sprint 3,"deploy, ml, database",5
97,Task task for Development,Please handle a Task related to Development. Priority: High.,Task,Completed,High,eve,diana,2025-05-18 00:50:15,2025-05-23 00:50:15,2025-05-25 00:50:15,2025-06-01 00:50:15,15.3,15.7,Development,Sprint 4,Sprint 4,"api, backend, deploy",13
98,Bug task for Design,Please handle a Bug related to Design. Priority: Medium.,Bug,Completed,Medium,charlie,diana,2025-06-04 20:01:03,2025-06-05 20:01:03,2025-06-06 20:01:03,2025-06-16 20:01:03,15.6,16.3,Design,Sprint 5,Sprint 5,"ml, backend",7
99,Epic task for Testing,Please handle a Epic related to Testing. Priority: Low.,Epic,In Progress,Low,eve,bob,2025-06-09 15:16:27,2025-06-10 15:16:27,,2025-06-16 15:16:27,9.3,,Testing,Sprint 1,Sprint 1,"ui, auth, backend",14
100,Task task for Development,Please handle a Task related to Development. Priority: Medium.,Task,In Progress,Medium,bob,alice,2025-06-06 03:51:56,2025-06-11 03:51:56,,2025-06-17 03:51:56,5.5,,Development,Sprint 3,Sprint 3,"auth, ml, deploy",9
101,Epic task for Testing,Please handle a Epic related to Testing. Priority: Low.,Epic,Review,Low,diana,alice,2025-05-31 05:12:32,2025-06-01 05:12:32,,2025-06-05 05:12:32,2.9,,Testing,Sprint 1,Sprint 1,"ml, database",9
102,Task task for Research,Please handle a Task related to Research. Priority: Low.,Task,Review,Low,charlie,eve,2025-06-06 17:27:13,2025-06-11 17:27:13,,2025-06-14 17:27:13,11.9,,Research,Sprint 2,Sprint 2,"deploy, database",7
103,Task task for Research,Please handle a Task related to Research. Priority: Critical.,Task,Review,Critical,diana,eve,2025-05-28 20:23:33,2025-06-01 20:23:33,,2025-06-02 20:23:33,8.9,,Research,Sprint 5,Sprint 5,"backend, database, ml",15
104,Story task for Design,Please handle a Story related to Design. Priority: Low.,Story,Review,Low,alice,eve,2025-06-11 04:53:31,2025-06-15 04:53:31,,2025-06-23 04:53:31,11.1,,Design,Sprint 4,Sprint 4,"database, ml",9
105,Task task for Research,Please handle a Task related to Research. Priority: Critical.,Task,Completed,Critical,alice,bob,2025-06-14 01:40:12,2025-06-16 01:40:12,2025-06-18 01:40:12,2025-06-21 01:40:12,11.8,17.2,Research,Sprint 3,Sprint 3,backend,2
106,Epic task for Design,Please handle a Epic related to Design. Priority: High.,Epic,To Do,High,charlie,eve,2025-05-30 18:03:29,2025-06-04 18:03:29,,2025-06-09 18:03:29,5.0,,Design,Sprint 1,Sprint 1,deploy,14
107,Epic task for Testing,Please handle a Epic related to Testing. Priority: Medium.,Epic,In Progress,Medium,bob,alice,2025-05-24 10:27:47,2025-05-25 10:27:47,,2025-06-05 10:27:47,7.3,,Testing,Sprint 4,Sprint 4,database,14
108,Epic task for Development,Please handle a Epic related to Development. Priority: Low.,Epic,Blocked,Low,eve,diana,2025-05-24 13:14:07,2025-05-27 13:14:07,,2025-06-03 13:14:07,15.0,,Development,Sprint 3,Sprint 3,"database, ui",15
109,Story task for Design,Please handle a Story related to Design. Priority: High.,Story,Completed,High,bob,eve,2025-06-04 02:01:37,2025-06-06 02:01:37,2025-06-10 02:01:37,2025-06-13 02:01:37,9.1,9.2,Design,Sprint 2,Sprint 2,"deploy, ml, backend",12
110,Bug task for Development,Please handle a Bug related to Development. Priority: Critical.,Bug,Review,Critical,diana,bob,2025-05-15 22:08:58,2025-05-16 22:08:58,,2025-05-29 22:08:58,5.0,,Development,Sprint 1,Sprint 1,ui,5
111,Story task for Design,Please handle a Story related to Design. Priority: Low.,Story,To Do,Low,bob,eve,2025-05-29 07:22:23,2025-06-02 07:22:23,,2025-06-08 07:22:23,3.2,,Design,Sprint 3,Sprint 3,"database, backend",6
112,Epic task for Testing,Please handle a Epic related to Testing. Priority: Critical.,Epic,To Do,Critical,charlie,bob,2025-05-17 03:05:46,2025-05-18 03:05:46,,2025-05-29 03:05:46,11.9,,Testing,Sprint 4,Sprint 4,"database, ml, api",7
