task_id,title,description,type,status,priority,assignee,reporter,created_at,start_time,end_time,due_date,estimated_hours,actual_hours,category,board_name,sprint_name,labels,comments_count
26,Type line company common walk.,Manage accept shake. Step onto study phone individual.,Story,To Do,Medium,alice,diana,2025-05-18 04:44:49,2025-05-23 04:44:49,,2025-05-31 04:44:49,7.4,,Research,Sprint 4,Sprint 4,"backend, api, ml",3
27,Office leg far sort Republican deal.,Food contain behavior party during anything suggest card.,Task,Blocked,Medium,diana,eve,2025-06-11 07:59:49,2025-06-16 07:59:49,,2025-06-20 07:59:49,4.1,,Design,Sprint 2,Sprint 2,deploy,14
28,Music report politics only degree fine.,Address help development beyond risk protect house. Animal such sure him prepare particular book various.,Task,Completed,Critical,alice,diana,2025-05-16 06:55:10,2025-05-18 06:55:10,2025-05-19 06:55:10,2025-05-27 06:55:10,3.2,4.3,Research,Sprint 2,Sprint 2,api,13
29,Arm matter energy.,Generation important history discussion. Morning style happy voice positive skill. Word himself newspaper himself strong east year rest.,Story,In Progress,Medium,eve,diana,2025-06-09 11:00:09,2025-06-10 11:00:09,,2025-06-17 11:00:09,8.0,,Testing,Sprint 5,Sprint 5,"database, deploy",8
30,These upon risk show.,Step education protect design interest green. Present next billion begin must provide hard.,Bug,To Do,Medium,eve,charlie,2025-06-13 19:33:41,2025-06-15 19:33:41,,2025-06-19 19:33:41,8.6,,Research,Sprint 2,Sprint 2,database,10
31,Rather break follow medical field past.,While father dog collection old yet second. Think event design learn. Significant take price answer mouth.,Epic,In Progress,High,eve,charlie,2025-05-15 07:41:52,2025-05-17 07:41:52,,2025-05-29 07:41:52,3.9,,Design,Sprint 2,Sprint 2,backend,1
32,Soldier red something almost avoid American tough.,Focus daughter have TV thus. Necessary debate environment son.,Epic,Review,Critical,charlie,diana,2025-05-22 06:28:53,2025-05-23 06:28:53,,2025-05-31 06:28:53,10.6,,Development,Sprint 1,Sprint 1,"database, deploy, ui",9
33,Image however girl page office bed my alone.,Dark these treatment current reality hot. Among teach sing article understand.,Task,In Progress,High,charlie,bob,2025-05-15 16:49:34,2025-05-16 16:49:34,,2025-05-25 16:49:34,7.2,,Research,Sprint 3,Sprint 3,ui,0
34,Real perhaps produce.,Always movement husband car agency want likely. Resource conference perform policy idea suddenly drop.,Epic,Blocked,Medium,charlie,bob,2025-05-24 17:03:15,2025-05-27 17:03:15,,2025-06-02 17:03:15,5.9,,Development,Sprint 3,Sprint 3,"deploy, backend",7
35,Shoulder couple remain road fire site late discuss.,All dog evening then occur five TV. Guy time suggest trade school pay.,Task,In Progress,Medium,eve,bob,2025-06-12 16:48:29,2025-06-16 16:48:29,,2025-06-23 16:48:29,14.4,,Development,Sprint 5,Sprint 5,"auth, ui, database",12
36,History student subject raise amount would nature individual.,Other indicate clear technology also quickly suffer. Inside floor think seven. Some smile believe through serious project ago.,Task,Review,Low,bob,eve,2025-06-07 14:15:08,2025-06-09 14:15:08,,2025-06-12 14:15:08,7.5,,Testing,Sprint 5,Sprint 5,ml,12
37,Loss program firm foot can.,Hit send career all. Leave college coach compare. Third do start red language task.,Bug,Review,Critical,alice,diana,2025-06-08 00:22:04,2025-06-11 00:22:04,,2025-06-21 00:22:04,2.9,,Research,Sprint 1,Sprint 1,"auth, backend, ui",14
38,Quickly strong determine himself product site child.,Rock section which something blue rock. Under final mind boy democratic window. Quickly its in room.,Bug,In Progress,High,eve,bob,2025-05-31 16:09:29,2025-06-01 16:09:29,,2025-06-15 16:09:29,7.6,,Design,Sprint 2,Sprint 2,api,7
39,Machine work rock dark.,About law challenge marriage dinner authority become attack. Reduce live onto scene coach. Describe kind husband growth finish determine.,Bug,Review,Critical,bob,diana,2025-06-06 13:17:31,2025-06-08 13:17:31,,2025-06-17 13:17:31,3.0,,Research,Sprint 1,Sprint 1,"api, ml, database",15
40,Certainly always dream yeah wait.,Turn send next sure arrive. Father once weight study.,Epic,In Progress,Critical,diana,alice,2025-05-18 01:52:57,2025-05-20 01:52:57,,2025-05-29 01:52:57,12.7,,Development,Sprint 5,Sprint 5,"deploy, database, ui",15
41,Find letter area somebody no your baby.,Section mind increase either everybody hit. Sister seek write. Body create small idea.,Epic,To Do,Medium,diana,eve,2025-05-23 17:42:38,2025-05-27 17:42:38,,2025-05-29 17:42:38,11.0,,Testing,Sprint 3,Sprint 3,auth,5
42,Nation onto dinner party.,Memory measure one both almost unit learn. Avoid TV top cell body.,Epic,To Do,High,charlie,bob,2025-05-20 10:48:43,2025-05-21 10:48:43,,2025-06-03 10:48:43,4.5,,Design,Sprint 5,Sprint 5,ui,5
43,Still top enough across miss surface team.,Arrive detail local road mouth. It weight room field stop.,Story,Completed,Low,charlie,diana,2025-06-10 01:20:43,2025-06-11 01:20:43,2025-06-16 01:20:43,2025-06-22 01:20:43,3.0,3.6,Development,Sprint 5,Sprint 5,"auth, database, ml",0
44,Something community agreement.,Morning decide address. Say successful our cultural bar. Beautiful loss maybe collection population heart drive. Politics spring if its act.,Story,In Progress,Critical,eve,bob,2025-05-24 14:36:05,2025-05-26 14:36:05,,2025-06-01 14:36:05,13.4,,Design,Sprint 4,Sprint 4,"auth, deploy, backend",14
45,Consider answer easy question.,Position military fish organization local must. Surface challenge both make. Couple wide necessary pay.,Bug,Blocked,High,alice,eve,2025-05-17 23:07:29,2025-05-19 23:07:29,,2025-05-28 23:07:29,7.2,,Testing,Sprint 1,Sprint 1,api,14
46,Own cost old give we.,Next into speak fall. Strategy do increase candidate be purpose.,Task,Completed,Low,alice,bob,2025-05-30 00:47:42,2025-06-01 00:47:42,2025-06-06 00:47:42,2025-06-09 00:47:42,10.2,13.6,Development,Sprint 4,Sprint 4,ml,0
47,Build there again any response until.,Republican change down officer. Social speak meeting card here leave. Amount common medical unit tree thing call.,Task,To Do,Low,diana,eve,2025-05-18 03:37:54,2025-05-21 03:37:54,,2025-06-02 03:37:54,9.7,,Research,Sprint 4,Sprint 4,"api, database, ml",2
48,Enough attention keep blood vote rest.,Role pretty hospital. Grow foot analysis guess half once.,Epic,Review,High,charlie,bob,2025-06-12 01:08:49,2025-06-16 01:08:49,,2025-06-22 01:08:49,12.7,,Testing,Sprint 2,Sprint 2,"ui, backend",13
49,Court difference amount outside cold peace.,Option operation traditional. Bed thought interview pass already the tree.,Story,Blocked,Medium,alice,diana,2025-05-25 04:29:47,2025-05-28 04:29:47,,2025-06-06 04:29:47,12.3,,Development,Sprint 2,Sprint 2,api,12
50,Like dark time past answer far serious.,Although structure we what. Natural fly trouble.,Task,To Do,Medium,diana,eve,2025-05-17 08:42:56,2025-05-22 08:42:56,,2025-05-24 08:42:56,15.1,,Research,Sprint 2,Sprint 2,"deploy, database",5
51,Laugh agency born maintain.,Down agree blue buy common to mention. Research herself policy possible perform.,Bug,Blocked,Medium,alice,eve,2025-05-23 20:46:49,2025-05-26 20:46:49,,2025-06-06 20:46:49,5.7,,Design,Sprint 4,Sprint 4,"database, deploy, auth",13
52,Company writer political song.,Test history any value. Feeling natural tell tend attention.,Epic,To Do,Critical,bob,alice,2025-06-05 18:55:11,2025-06-10 18:55:11,,2025-06-16 18:55:11,5.9,,Testing,Sprint 2,Sprint 2,backend,10
53,Hand authority yard help movie positive.,Field news best either along place. Them loss everybody always age. Really prove coach.,Story,Review,Medium,alice,charlie,2025-06-03 16:22:14,2025-06-08 16:22:14,,2025-06-17 16:22:14,12.5,,Design,Sprint 4,Sprint 4,ui,14
54,Fact fall turn wait military.,Serious another growth. They so consider available friend language.,Task,Completed,High,diana,bob,2025-05-24 23:48:41,2025-05-29 23:48:41,2025-06-02 23:48:41,2025-05-30 23:48:41,4.9,5.9,Development,Sprint 3,Sprint 3,database,14
55,Behavior hard rule could bill head wear official.,Approach start team shoulder when kitchen. Share gun by card big.,Epic,Completed,Critical,diana,charlie,2025-06-07 14:34:36,2025-06-10 14:34:36,2025-06-12 14:34:36,2025-06-14 14:34:36,13.7,14.3,Design,Sprint 2,Sprint 2,"auth, ui",8
56,Run have last through administration.,Significant understand natural speech. Issue add she serious probably. Almost night could plan bank she reduce effect.,Story,In Progress,Low,diana,charlie,2025-05-27 00:24:21,2025-05-31 00:24:21,,2025-06-03 00:24:21,12.7,,Research,Sprint 1,Sprint 1,"auth, ui",6
57,Her factor maintain nothing finally customer career.,Feel soldier international thus church company thought. Memory data economic sound result region paper.,Bug,Completed,Medium,diana,bob,2025-05-31 18:36:40,2025-06-01 18:36:40,2025-06-05 18:36:40,2025-06-05 18:36:40,6.0,7.1,Development,Sprint 4,Sprint 4,"database, ui",2
58,Within south these product investment of exist.,Treat program option that bed. Person agreement over federal.,Bug,Completed,Critical,eve,bob,2025-06-12 04:16:46,2025-06-16 04:16:46,2025-06-17 04:16:46,2025-06-23 04:16:46,11.6,17.2,Design,Sprint 3,Sprint 3,ml,4
59,Pick successful year knowledge attorney eye determine.,Garden turn control throw window idea save professor. Animal out single operation.,Story,To Do,Medium,alice,eve,2025-06-02 10:05:20,2025-06-05 10:05:20,,2025-06-17 10:05:20,3.2,,Design,Sprint 3,Sprint 3,"deploy, backend",1
60,Teacher majority course garden always.,Federal continue manager home food. Yard mean test purpose rock. Then who news once.,Epic,To Do,High,bob,alice,2025-06-07 06:20:31,2025-06-10 06:20:31,,2025-06-21 06:20:31,10.2,,Testing,Sprint 5,Sprint 5,ui,14
61,Pay leader step wish.,Skin professor discover military change threat real choose. Design ability food. Day win course trial body.,Task,To Do,Low,eve,diana,2025-06-13 03:42:40,2025-06-15 03:42:40,,2025-06-28 03:42:40,9.2,,Design,Sprint 3,Sprint 3,ml,12
62,First seven relationship traditional.,Prepare quality development how. Ground challenge level easy memory develop. Amount employee choice around.,Task,Blocked,Low,alice,diana,2025-06-02 14:58:09,2025-06-04 14:58:09,,2025-06-10 14:58:09,15.1,,Testing,Sprint 1,Sprint 1,database,12
63,Meet carry history coach offer hundred.,Young suffer second through result. Expect nor than enter she. Itself art relationship type sister personal candidate.,Story,Completed,Medium,alice,bob,2025-05-31 11:54:58,2025-06-03 11:54:58,2025-06-04 11:54:58,2025-06-08 11:54:58,2.9,3.6,Research,Sprint 5,Sprint 5,"ui, api, ml",1
64,Cause carry hold skill impact.,Still authority above return buy learn sometimes. Whatever their ability final.,Bug,Completed,Low,eve,alice,2025-06-06 10:05:23,2025-06-09 10:05:23,2025-06-12 10:05:23,2025-06-18 10:05:23,10.7,13.5,Research,Sprint 4,Sprint 4,ml,7
65,Remain subject movie with media individual guy.,Us maintain condition appear live civil recent. Law man also cultural.,Task,Review,Low,eve,alice,2025-06-10 19:10:08,2025-06-15 19:10:08,,2025-06-16 19:10:08,15.2,,Research,Sprint 2,Sprint 2,deploy,9
66,Crime mother same early his public can.,Rate social Republican yet as. Approach owner indicate significant knowledge rock over. Create perform school. Space customer last half.,Story,In Progress,Critical,eve,charlie,2025-06-06 11:27:36,2025-06-10 11:27:36,,2025-06-15 11:27:36,12.6,,Development,Sprint 3,Sprint 3,"ui, api, database",2
67,Past election reason between public institution million learn.,Policy eat person wrong building war word last. New race charge enjoy usually southern.,Story,Blocked,Critical,bob,diana,2025-06-02 08:11:54,2025-06-06 08:11:54,,2025-06-15 08:11:54,15.4,,Research,Sprint 2,Sprint 2,"ui, database",14
68,It writer former share.,Fill position lot benefit history dark nice. Follow place team interest last great.,Bug,Blocked,High,charlie,diana,2025-06-08 07:20:20,2025-06-10 07:20:20,,2025-06-17 07:20:20,13.0,,Research,Sprint 5,Sprint 5,"api, auth, deploy",3
69,Game next short fly into.,Prevent term listen work east do marriage. Win claim fund whom. Hotel do participant national pattern time trial affect.,Bug,Completed,High,diana,bob,2025-06-12 02:30:22,2025-06-17 02:30:22,2025-06-20 02:30:22,2025-06-22 02:30:22,12.8,15.8,Testing,Sprint 4,Sprint 4,"ml, auth, backend",6
70,Concern stand sell reflect.,Suffer wish call while now TV tonight. Rock western hold add politics at street. Moment far soldier measure part.,Story,In Progress,Low,diana,bob,2025-05-18 17:54:01,2025-05-19 17:54:01,,2025-05-23 17:54:01,4.5,,Research,Sprint 1,Sprint 1,"api, database",9
71,Choice audience go so.,Trip huge alone collection material position near. Authority note now whom sound.,Task,Completed,Critical,bob,eve,2025-06-03 01:12:15,2025-06-08 01:12:15,2025-06-12 01:12:15,2025-06-09 01:12:15,2.4,3.6,Development,Sprint 3,Sprint 3,"deploy, ml, ui",8
72,Benefit oil win occur relate rise.,Organization party run job sometimes guy material choice. Test second prevent his argue soon computer science. Assume soon follow. Reflect own Mrs lead management including.,Bug,To Do,High,charlie,eve,2025-05-16 16:25:33,2025-05-18 16:25:33,,2025-05-24 16:25:33,3.8,,Research,Sprint 1,Sprint 1,database,5
73,Beyond magazine government born around dream.,Reason investment special them. Thus parent into anyone student. Drug themselves tax news. Develop type why add I operation.,Story,Completed,Critical,alice,bob,2025-05-27 10:48:27,2025-05-29 10:48:27,2025-06-03 10:48:27,2025-06-11 10:48:27,7.5,7.7,Research,Sprint 3,Sprint 3,"api, ui, backend",5
74,Line sell service among color analysis.,School produce area around music notice church. Camera myself light modern analysis name teach. Bill sport during stuff.,Story,Review,Medium,eve,charlie,2025-05-30 18:53:01,2025-06-04 18:53:01,,2025-06-13 18:53:01,3.2,,Research,Sprint 4,Sprint 4,deploy,12
75,Partner state discuss describe admit.,Worker shake more professional Congress executive strong. She old effort recently. Cup decide should for scene.,Bug,Review,High,bob,diana,2025-06-08 00:00:43,2025-06-13 00:00:43,,2025-06-16 00:00:43,8.1,,Development,Sprint 5,Sprint 5,"api, database, backend",15
76,Kid television always executive.,Start change at light true.,Story,Blocked,Critical,bob,charlie,2025-05-29 05:28:49,2025-06-03 05:28:49,,2025-06-07 05:28:49,13.8,,Research,Sprint 2,Sprint 2,"auth, ml, deploy",6
77,Trip doctor discussion prevent middle thus whose.,Begin single process fall experience event. Perform east because half.,Bug,To Do,Medium,charlie,alice,2025-06-07 03:30:16,2025-06-11 03:30:16,,2025-06-22 03:30:16,12.2,,Research,Sprint 1,Sprint 1,ml,8
78,Pattern discussion night term bag practice.,Step name hour suddenly nation. Particular others chance commercial majority support.,Bug,Blocked,Critical,eve,alice,2025-05-19 14:16:23,2025-05-20 14:16:23,,2025-05-27 14:16:23,14.6,,Design,Sprint 1,Sprint 1,ml,11
79,Along blue table three practice.,Check next concern oil. Hotel teach education yard cultural.,Story,Completed,High,charlie,diana,2025-06-03 01:03:11,2025-06-05 01:03:11,2025-06-06 01:03:11,2025-06-08 01:03:11,2.3,2.1,Research,Sprint 1,Sprint 1,"auth, ml, database",8
80,Card fund next apply take must.,Kind physical personal outside film. Country company loss as ground matter especially follow. Very clearly dinner almost. Least society fast once sit.,Story,Completed,Critical,eve,diana,2025-05-31 19:16:28,2025-06-01 19:16:28,2025-06-06 19:16:28,2025-06-09 19:16:28,4.0,5.4,Research,Sprint 1,Sprint 1,"ml, api",6
81,Pm nor several box.,Born building young. Foreign man character type before top. Week surface beyond small source eye.,Task,Blocked,Low,charlie,alice,2025-06-09 16:09:10,2025-06-14 16:09:10,,2025-06-17 16:09:10,2.2,,Testing,Sprint 4,Sprint 4,"backend, database, ui",3
82,Former poor skill rock exist.,So citizen product. Employee deep hospital us experience along. High dog them data range.,Epic,Completed,Medium,diana,charlie,2025-06-01 02:35:50,2025-06-03 02:35:50,2025-06-04 02:35:50,2025-06-06 02:35:50,9.8,13.7,Testing,Sprint 3,Sprint 3,ml,9
83,Ball cold to mother image.,Resource politics building. Measure commercial nearly economy price anything party. Away because away after soldier seek.,Epic,Review,Medium,charlie,diana,2025-06-04 07:31:34,2025-06-07 07:31:34,,2025-06-09 07:31:34,14.7,,Research,Sprint 2,Sprint 2,database,6
84,In turn north include several.,Beautiful then make answer later hair interview. Memory time especially main drive as.,Bug,To Do,Low,bob,eve,2025-05-28 19:59:50,2025-05-30 19:59:50,,2025-06-10 19:59:50,11.2,,Design,Sprint 1,Sprint 1,"backend, ui",1
85,End cell movement strategy room all.,Vote response happen indicate. Her see design sea inside.,Epic,Review,Low,charlie,diana,2025-06-14 04:39:51,2025-06-19 04:39:51,,2025-06-24 04:39:51,13.0,,Testing,Sprint 2,Sprint 2,"deploy, ui, auth",15
86,Record mention to deep another market.,Production sure worry rise. Drive surface institution spring agree.,Epic,Blocked,Critical,charlie,bob,2025-06-05 04:16:06,2025-06-09 04:16:06,,2025-06-11 04:16:06,14.2,,Testing,Sprint 3,Sprint 3,"api, database",8
87,Feeling natural worry prepare parent.,Less out appear at believe resource. Enjoy relationship alone minute almost author address. Mrs entire interesting push wish fight course.,Story,Completed,High,charlie,diana,2025-05-16 03:43:31,2025-05-18 03:43:31,2025-05-23 03:43:31,2025-05-30 03:43:31,10.4,12.3,Development,Sprint 4,Sprint 4,auth,7
88,Push result color notice happy message.,Power baby less someone. Stop chair because four. Listen power return yes college bring message.,Bug,In Progress,High,bob,charlie,2025-06-06 00:12:46,2025-06-08 00:12:46,,2025-06-19 00:12:46,4.4,,Development,Sprint 4,Sprint 4,ml,15
89,Mr woman tree choice thought.,Campaign learn value data test. Since until traditional though administration top push.,Task,To Do,High,eve,charlie,2025-05-27 08:09:12,2025-05-28 08:09:12,,2025-06-07 08:09:12,10.3,,Research,Sprint 1,Sprint 1,"ml, database",13
90,New development difficult blue.,Court new final how realize. Him little third base dream hear building. Quality article difficult.,Task,To Do,Low,bob,diana,2025-06-10 02:33:14,2025-06-12 02:33:14,,2025-06-18 02:33:14,4.4,,Development,Sprint 4,Sprint 4,"auth, ml, backend",1
91,Against reach plant week more research kid.,War important catch value nature economy receive. Think region visit require direction. Card voice participant official.,Bug,Completed,Medium,eve,alice,2025-05-15 09:57:03,2025-05-19 09:57:03,2025-05-21 09:57:03,2025-05-23 09:57:03,3.4,2.8,Testing,Sprint 3,Sprint 3,"deploy, auth",6
92,Control beat recently outside in.,Speech share know front worry nature. Guy some thus company challenge.,Task,Review,Critical,alice,diana,2025-05-31 17:06:57,2025-06-01 17:06:57,,2025-06-09 17:06:57,13.8,,Testing,Sprint 2,Sprint 2,"backend, ui",14
93,Kid pretty activity day traditional seat.,Yourself half sort. Society five table seat position like test.,Task,Blocked,Medium,charlie,bob,2025-05-25 13:49:59,2025-05-30 13:49:59,,2025-06-05 13:49:59,6.3,,Design,Sprint 3,Sprint 3,backend,8
94,Point him big board.,State call region. Enough quite own class party year.,Epic,Completed,Medium,diana,charlie,2025-05-17 17:47:19,2025-05-18 17:47:19,2025-05-23 17:47:19,2025-05-28 17:47:19,15.0,13.6,Design,Sprint 5,Sprint 5,"database, ui, ml",8
95,Expect require away language company none.,Medical care doctor practice region recognize. Determine medical meeting foot once.,Task,Completed,High,charlie,alice,2025-06-14 02:48:11,2025-06-17 02:48:11,2025-06-21 02:48:11,2025-06-28 02:48:11,3.9,5.2,Design,Sprint 1,Sprint 1,auth,11
96,Benefit three loss never stop deal.,Tv line degree president baby nearly pressure method. Collection rich act every production. International buy about enough catch present certain.,Task,Blocked,Low,bob,eve,2025-06-12 01:14:37,2025-06-15 01:14:37,,2025-06-25 01:14:37,8.6,,Testing,Sprint 3,Sprint 3,"deploy, ml, database",5
97,Skill consumer sometimes commercial market clear.,Start trouble office stay. War interesting card much professor person. Unit design responsibility science win car. Foot firm low push.,Task,Completed,High,eve,diana,2025-05-18 00:50:15,2025-05-23 00:50:15,2025-05-25 00:50:15,2025-06-01 00:50:15,15.3,15.7,Development,Sprint 4,Sprint 4,"api, backend, deploy",13
98,Well my cover art.,Big class of own yourself answer over. Management without reach federal couple toward record sort. They into hundred describe color threat condition.,Bug,Completed,Medium,charlie,diana,2025-06-04 20:01:03,2025-06-05 20:01:03,2025-06-06 20:01:03,2025-06-16 20:01:03,15.6,16.3,Design,Sprint 5,Sprint 5,"ml, backend",7
99,Relationship second another include.,Born main ten computer lawyer author. Around card much. By writer notice put growth.,Epic,In Progress,Low,eve,bob,2025-06-09 15:16:27,2025-06-10 15:16:27,,2025-06-16 15:16:27,9.3,,Testing,Sprint 1,Sprint 1,"ui, auth, backend",14
100,Your might along gun to increase.,Run interesting affect material doctor tend rise. Environment recent already I partner lead course. Respond couple community fish surface career also.,Task,In Progress,Medium,bob,alice,2025-06-06 03:51:56,2025-06-11 03:51:56,,2025-06-17 03:51:56,5.5,,Development,Sprint 3,Sprint 3,"auth, ml, deploy",9
101,Half audience item whom traditional information meet.,With give say spend responsibility some. Economy rise nation next provide protect none sort.,Epic,Review,Low,diana,alice,2025-05-31 05:12:32,2025-06-01 05:12:32,,2025-06-05 05:12:32,2.9,,Testing,Sprint 1,Sprint 1,"ml, database",9
102,Red over thing.,Ready method analysis science successful stuff vote head. Respond enough trip appear discover.,Task,Review,Low,charlie,eve,2025-06-06 17:27:13,2025-06-11 17:27:13,,2025-06-14 17:27:13,11.9,,Research,Sprint 2,Sprint 2,"deploy, database",7
